23:13:06 ═══ PHASE 1: Collecting active users ═══
23:13:07 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:07 MCP session initialized: {'name': 'private-users-mcp', 'version': '3.2.0'}
23:13:07 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 406 Not Acceptable"
23:13:09 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:09 Total active users: 239,814  Pages: 239,814
23:13:11 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:13 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:15 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:18 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:20 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:22 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:25 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:27 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:30 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:33 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:36 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
23:13:38 HTTP Request: POST https://private-users-mcp.query.prod.telnyx.io:3000/mcp "HTTP/1.1 200 OK"
